Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,fix_quality.data
1645138509.2456727,1,0,0,,42.33725139833333,-71.08695220166668,11.619,328075.61077362613,4689331.233786299,19.0,T,5
1645138509.4493766,2,0,0,,42.337251298333335,-71.08695218999999,11.618,328075.61146225035,4689331.222658474,19.0,T,5
1645138509.6423006,3,0,0,,42.337251265,-71.08695215833332,11.62,328075.6139802375,4689331.218893033,19.0,T,5
1645138509.851033,4,0,0,,42.33725127166667,-71.08695212166667,11.61,328075.6170191533,4689331.219559179,19.0,T,5
1645138510.0494194,5,0,0,,42.337251291666675,-71.08695212833334,11.607,328075.61652443284,4689331.221793508,19.0,T,5
1645138510.2413259,6,0,0,,42.33725127166667,-71.08695212666666,11.605,328075.61660723435,4689331.219569289,19.0,T,5
1645138510.4531748,7,0,0,,42.337251263333336,-71.08695211333333,11.607,328075.6176829788,4689331.218616978,19.0,T,5
1645138510.6460686,8,0,0,,42.33725124999999,-71.08695209833331,11.603,328075.61888240336,4689331.2171060825,19.0,T,5
1645138510.853371,9,0,0,,42.337251229999985,-71.08695218333334,11.609,328075.6118252508,4689331.2150570955,19.0,T,5
1645138511.0513356,10,0,0,,42.33725121833333,-71.08695221166666,11.592,328075.60945924453,4689331.213818889,19.0,T,5
1645138511.2480903,11,0,0,,42.33725120333333,-71.08695225166666,11.58,328075.60612300364,4689331.212234131,19.0,T,5
1645138511.4493809,12,0,0,,42.33725120000001,-71.08695224333333,11.575,328075.6068004533,4689331.211847141,19.0,T,5
1645138511.644838,13,0,0,,42.337251148333344,-71.08695221666667,11.58,328075.6088565545,4689331.206056036,19.0,T,5
1645138511.8479028,14,0,0,,42.33725104333333,-71.08695227333334,11.558,328075.60390197637,4689331.194511161,19.0,T,5
1645138512.0518823,15,0,0,,42.33725100833333,-71.08695228666667,11.54,328075.60270813806,4689331.190651637,19.0,T,5
1645138512.2506049,16,0,0,,42.33725099,-71.08695231499999,11.529,328075.60032396356,4689331.188673147,19.0,T,5
1645138512.443133,17,0,0,,42.33725096166666,-71.08695226666667,11.538,328075.6042286402,4689331.18542922,19.0,T,5
1645138512.6485062,18,0,0,,42.33725095166666,-71.08695234166666,11.524,328075.5980225863,4689331.184470439,19.0,T,5
1645138512.8521986,19,0,0,,42.337250966666666,-71.08695235333332,11.523,328075.5971023186,4689331.186159665,19.0,T,5
1645138513.0500398,20,0,0,,42.33725096,-71.08695235333332,11.523,328075.5970841503,4689331.1854193825,19.0,T,5
1645138513.2481725,21,0,0,,42.33725094500001,-71.086952355,11.516,328075.59690596326,4689331.183757117,19.0,T,5
1645138513.4512956,22,0,0,,42.33725092166666,-71.08695241166667,11.5,328075.5921739445,4689331.181280701,19.0,T,5
1645138513.6483161,23,0,0,,42.33725093500001,-71.08695241000001,11.493,328075.59234758746,4689331.182757898,19.0,T,5
1645138513.8454533,24,0,0,,42.33725091333334,-71.08695237166667,11.492,328075.5954465965,4689331.1802744735,19.0,T,5
1645138514.0494285,25,0,0,,42.33725088833334,-71.08695235166667,11.495,328075.59702614555,4689331.177457976,19.0,T,5
1645138514.343642,26,0,0,,42.337250858333334,-71.08695236000001,11.495,328075.59625785454,4689331.174143556,19.0,T,5
1645138514.547554,27,0,0,,42.337250878333336,-71.08695234000001,11.492,328075.59796004154,4689331.176323963,19.0,T,5
1645138514.7423217,28,0,0,,42.33725086999999,-71.08695233499999,11.487,328075.59834925225,4689331.175388501,19.0,T,5
1645138514.9584877,29,0,0,,42.33725086999999,-71.086952325,11.477,328075.59917309234,4689331.175368281,19.0,T,5
1645138515.1483274,30,0,0,,42.33725088333334,-71.08695231666667,11.475,328075.59989596053,4689331.176831998,19.0,T,5
1645138515.3415577,31,0,0,,42.33725090833334,-71.08695226833335,11.472,328075.60394598765,4689331.179510333,19.0,T,5
1645138515.550834,32,0,0,,42.33725087999999,-71.08695234833333,11.461,328075.5972780499,4689331.176525882,19.0,T,5
1645138515.649256,33,0,0,,42.337250875,-71.08695231333331,11.459,328075.60014786705,4689331.175899905,19.0,T,5
1645138515.845758,34,0,0,,42.337250861666675,-71.08695235,11.45,328075.59709077876,4689331.174493477,19.0,T,5
1645138516.0520654,35,0,0,,42.33725083999999,-71.08695241999999,11.442,328075.59126484935,4689331.172229089,19.0,T,5
1645138516.2489257,36,0,0,,42.33725084333334,-71.08695235,11.446,328075.597040816,4689331.172457701,19.0,T,5
1645138516.4452333,37,0,0,,42.33725080833333,-71.08695235666667,11.439,328075.5963962071,4689331.168584696,19.0,T,5
1645138516.6482923,38,0,0,,42.33725081999999,-71.08695239833334,11.432,328075.59299533087,4689331.1699644355,19.0,T,5
1645138516.9446871,39,0,0,,42.33725069166666,-71.08695254,11.439,328075.5809745202,4689331.1560004335,19.0,T,5
1645138517.1507344,40,0,0,,42.337250653333335,-71.08695266833332,11.435,328075.5702974319,4689331.152003289,19.0,T,5
1645138517.3547566,41,0,0,,42.337250653333335,-71.08695275166666,11.44,328075.56343209464,4689331.152171779,19.0,T,5
1645138517.5427718,42,0,0,,42.337250581666666,-71.08695284166667,11.451,328075.55582222086,4689331.144395715,19.0,T,5
1645138517.7489355,43,0,0,,42.337250499999996,-71.08695294666666,11.45,328075.5469493356,4689331.135539555,19.0,T,5
1645138517.9586544,44,0,0,,42.33725051500001,-71.08695305166665,11.456,328075.53833988844,4689331.137417491,19.0,T,5
