Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,fix_quality.data
1645136772.8402958,3078,0,0,,42.339081990000004,-71.08439465,7.773,328291.2949909017,4689529.339073822,19.0,T,4
1645136773.053486,3079,0,0,,42.33908157999999,-71.08439492666668,7.775,328291.2710826278,4689529.2941051535,19.0,T,4
1645136773.245939,3080,0,0,,42.339081228333335,-71.08439538166667,7.782,328291.2326417449,4689529.2559740925,19.0,T,4
1645136773.4434125,3081,0,0,,42.33908085,-71.08439606333333,7.775,328291.17545510305,4689529.215339637,19.0,T,4
1645136773.6387637,3082,0,0,,42.33908030999999,-71.084396775,7.77,328291.11535695416,4689529.156813915,19.0,T,4
1645136773.844339,3083,0,0,,42.33907960166667,-71.08439766666666,7.788,328291.0399719043,4689529.079959557,19.0,T,4
1645136774.0456524,3084,0,0,,42.33907867666667,-71.08439870166666,7.769,328290.9521890528,4689528.979335471,19.0,T,4
1645136774.2450058,3085,0,0,,42.339077628333335,-71.08439975833333,7.801,328290.86228554684,4689528.865059913,19.0,T,4
1645136774.4480896,3086,0,0,,42.339076613333326,-71.08440098666665,7.8,328290.7583305896,4689528.754832437,19.0,T,4
1645136774.6552489,3087,0,0,,42.33907563166667,-71.08440217333333,7.791,328290.65789892944,4689528.648222234,19.0,T,4
1645136774.8338976,3088,0,0,,42.33907472166668,-71.08440373166667,7.788,328290.52704383124,4689528.550320629,19.0,T,4
1645136775.0470226,3089,0,0,,42.339073684999995,-71.08440513666666,7.798,328290.408475794,4689528.438044007,19.0,T,4
1645136775.243846,3090,0,0,,42.339072619999996,-71.08440645166668,7.778,328290.2972449765,4689528.322439439,19.0,T,4
1645136775.4540443,3091,0,0,,42.33907151,-71.08440786166666,7.768,328290.1780654105,4689528.20202981,19.0,T,4
1645136775.6328044,3092,0,0,,42.33907037666667,-71.08440923500001,7.796,328290.06184298685,4689528.078955151,19.0,T,4
1645136775.8409753,3093,0,0,,42.339069203333345,-71.08441052166667,7.808,328289.9526514234,4689527.951263779,19.0,T,4
1645136776.0472002,3094,0,0,,42.339068145,-71.08441213333334,7.776,328289.8169988467,4689527.836998601,19.0,T,4
1645136776.2418725,3095,0,0,,42.33906720833334,-71.08441357333332,7.781,328289.6958196306,4689527.735896913,19.0,T,4
1645136776.4523783,3096,0,0,,42.33906609666667,-71.08441495499999,7.787,328289.57896965626,4689527.615245007,19.0,T,4
1645136776.6601844,3097,0,0,,42.33906506166666,-71.08441629166666,7.774,328289.46603553824,4689527.503015475,19.0,T,4
1645136776.840677,3098,0,0,,42.339063841666665,-71.08441780833333,7.779,328289.3377691417,4689527.37060661,19.0,T,4
1645136777.0444593,3099,0,0,,42.33906277833333,-71.08441918666666,7.79,328289.2213253246,4689527.255315025,19.0,T,4
1645136777.2401693,3100,0,0,,42.33906179666667,-71.08442079000001,7.769,328289.0865679255,4689527.149546284,19.0,T,4
1645136777.449397,3101,0,0,,42.339060749999994,-71.08442251333332,7.774,328288.9417477909,4689527.036802123,19.0,T,4
1645136777.6481583,3102,0,0,,42.33905972666666,-71.08442422166667,7.794,328288.7982268912,4689526.926618663,19.0,T,4
1645136777.8436131,3103,0,0,,42.33905872333333,-71.08442557333332,7.77,328288.6841432221,4689526.817935779,19.0,T,4
1645136778.047077,3104,0,0,,42.33905742666667,-71.08442689333333,7.78,328288.571869839,4689526.676616515,19.0,T,4
1645136778.2385695,3105,0,0,,42.33905634333333,-71.08442845666667,7.801,328288.44013094786,4689526.559477698,19.0,T,4
1645136778.443357,3106,0,0,,42.33905524333333,-71.084429975,7.778,328288.3120538575,4689526.440397299,19.0,T,4
1645136778.649298,3107,0,0,,42.33905417833333,-71.08443172833334,7.776,328288.1647123407,4689526.325677961,19.0,T,4
1645136778.8406992,3108,0,0,,42.33905323333334,-71.08443333833334,7.795,328288.0295055065,4689526.223994256,19.0,T,4
1645136779.0360885,3109,0,0,,42.33905205833333,-71.08443472,7.801,328287.9124830784,4689526.096309693,19.0,T,4
1645136779.2430859,3110,0,0,,42.33905077166667,-71.08443617,7.789,328287.78952727397,4689525.956363396,19.0,T,4
1645136779.4517834,3111,0,0,,42.33904945833333,-71.08443759333332,7.813,328287.6686957189,4689525.813402117,19.0,T,4
1645136779.6439886,3112,0,0,,42.33904833833334,-71.08443902500001,7.798,328287.5477039063,4689525.691925867,19.0,T,4
1645136779.847466,3113,0,0,,42.339047326666666,-71.08444074,7.781,328287.403665503,4689525.58305139,19.0,T,4
1645136780.0384097,3114,0,0,,42.33904634333334,-71.08444223666667,7.793,328287.2776908881,4689525.476882199,19.0,T,4
1645136780.2452888,3115,0,0,,42.33904523666667,-71.08444372499999,7.801,328287.1520670652,4689525.357000956,19.0,T,4
1645136780.4400072,3116,0,0,,42.339044068333344,-71.08444503,7.765,328287.0413786855,4689525.229901862,19.0,T,4
1645136780.6593637,3117,0,0,,42.33904272166666,-71.08444635833332,7.771,328286.9282826277,4689525.083047332,19.0,T,4
1645136780.8429956,3118,0,0,,42.33904147,-71.08444770833333,7.801,328286.81366022804,4689524.946785586,19.0,T,4
1645136781.0432851,3119,0,0,,42.33904028166667,-71.08444908666668,7.781,328286.69687606796,4689524.817613747,19.0,T,4
1645136781.2390835,3120,0,0,,42.33903909833332,-71.08445063666666,7.787,328286.5659633281,4689524.689343796,19.0,T,4
1645136781.4575794,3121,0,0,,42.33903791166667,-71.084452065,7.802,328286.44506461325,4689524.560458005,19.0,T,4
