Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,fix_quality.data
1645384997.5191152,1789,0,0,,42.33917645166666,-71.084315885,4.809,328298.0408956844,4689539.669264672,19.0,T,4
1645384997.7191067,1790,0,0,,42.33917646666667,-71.08431588333333,4.808,328298.04107381497,4689539.670926944,19.0,T,4
1645384997.9272118,1791,0,0,,42.33917645166666,-71.08431589333334,4.814,328298.0402091696,4689539.6692815,19.0,T,4
1645384998.132962,1792,0,0,,42.33917644666667,-71.08431595833333,4.803,328298.0348407611,4689539.668857548,19.0,T,4
1645384998.3323433,1793,0,0,,42.33917646500001,-71.0843159,4.794,328298.03969625104,4689539.67077553,19.0,T,4
1645384998.531292,1794,0,0,,42.33917650000001,-71.08431588833335,4.787,328298.04075263435,4689539.674638454,19.0,T,4
1645384998.727156,1795,0,0,,42.33917651333333,-71.08431589166666,4.788,328298.040514322,4689539.676125749,19.0,T,4
1645384998.919365,1796,0,0,,42.33917651833333,-71.08431590333333,4.786,328298.03956681467,4689539.676704521,19.0,T,4
1645384999.124296,1797,0,0,,42.33917647666667,-71.08431585833333,4.798,328298.04316057183,4689539.671986885,19.0,T,4
1645384999.3234477,1798,0,0,,42.33917647833333,-71.08431585500001,4.796,328298.04343971045,4689539.6721652225,19.0,T,4
1645384999.525537,1799,0,0,,42.33917648166666,-71.08431588333333,4.796,328298.0411146434,4689539.67259258,19.0,T,4
1645384999.7193542,1800,0,0,,42.33917649499999,-71.08431589,4.796,328298.04060172266,4689539.674086606,19.0,T,4
1645384999.9222794,1801,0,0,,42.339176501666664,-71.08431590333333,4.791,328298.0395214497,4689539.674853813,19.0,T,4
1645385000.1208198,1802,0,0,,42.33917646500001,-71.08431589833333,4.797,328298.0398335553,4689539.670772164,19.0,T,4
1645385000.3273516,1803,0,0,,42.33917646666667,-71.08431591666667,4.798,328298.03832776437,4689539.670994256,19.0,T,4
1645385000.5274484,1804,0,0,,42.339176473333325,-71.08431593499999,4.795,328298.0368355829,4689539.671771559,19.0,T,4
1645385000.7234862,1805,0,0,,42.339176470000005,-71.08431592166666,4.8,328298.03792492894,4689539.671374494,19.0,T,4
1645385000.9220173,1806,0,0,,42.33917646500001,-71.084315925,4.803,328298.0376367131,4689539.670826014,19.0,T,4
1645385001.1276293,1807,0,0,,42.33917648500001,-71.08431594833336,4.799,328298.0357689153,4689539.673093978,19.0,T,4
1645385001.3196704,1808,0,0,,42.339176480000006,-71.08431595,4.795,328298.0356180058,4689539.672542133,19.0,T,4
1645385001.5290148,1809,0,0,,42.339176460000004,-71.08431596333334,4.801,328298.03446514683,4689539.67034821,19.0,T,4
1645385001.7189007,1810,0,0,,42.33917648500001,-71.08431598166666,4.798,328298.0330228668,4689539.673161291,19.0,T,4
1645385001.9276736,1811,0,0,,42.339176450000004,-71.08431595833333,4.813,328298.0348498341,4689539.6692276895,19.0,T,4
1645385002.1210907,1812,0,0,,42.33917644500001,-71.08431596166666,4.816,328298.03456162044,4689539.668679209,19.0,T,4
1645385002.3166444,1813,0,0,,42.33917645833333,-71.08431597,4.813,328298.03391139966,4689539.670176601,19.0,T,4
1645385002.5188432,1814,0,0,,42.33917645500001,-71.08431595333332,4.817,328298.0352753541,4689539.669772804,19.0,T,4
1645385002.7271886,1815,0,0,,42.339176460000004,-71.08431596666665,4.813,328298.03419054253,4689539.670354941,19.0,T,4
1645385002.9181461,1816,0,0,,42.339176448333326,-71.084315975,4.817,328298.03347227233,4689539.669076273,19.0,T,4
1645385003.1242445,1817,0,0,,42.33917640666667,-71.08431599166667,4.825,328298.0319858347,4689539.664483164,19.0,T,4
1645385003.3146088,1818,0,0,,42.33917641666667,-71.08431598833333,4.828,328298.03228765994,4689539.665586857,19.0,T,4
1645385003.5240972,1819,0,0,,42.33917641166666,-71.08431597833334,4.828,328298.0330978652,4689539.665011452,19.0,T,4
1645385003.7169466,1820,0,0,,42.33917640833334,-71.08431603166667,4.825,328298.02869511215,4689539.6647490105,19.0,T,4
1645385003.9195726,1821,0,0,,42.33917644333332,-71.084316015,4.823,328298.03016340383,4689539.668601835,19.0,T,4
1645385004.1310892,1822,0,0,,42.339176435000006,-71.08431598000001,4.825,328298.0330240741,4689539.667605807,19.0,T,4
1645385004.3292017,1823,0,0,,42.33917644333332,-71.08431599000001,4.825,328298.03222293966,4689539.668551352,19.0,T,4
1645385004.5285249,1824,0,0,,42.33917643666667,-71.08431599166667,4.826,328298.0320674916,4689539.667814437,19.0,T,4
1645385004.72799,1825,0,0,,42.33917645166666,-71.08431598166666,4.821,328298.0329321369,4689539.669459878,19.0,T,4
1645385004.9190173,1826,0,0,,42.339176470000005,-71.08431596833333,4.823,328298.0340804594,4689539.67146873,19.0,T,4
1645385005.124316,1827,0,0,,42.33917643833334,-71.08431599166667,4.829,328298.0320720281,4689539.667999507,19.0,T,4
1645385005.3244665,1828,0,0,,42.339176425000005,-71.08431596000001,4.833,328298.03464448464,4689539.666454995,19.0,T,4
1645385005.5317044,1829,0,0,,42.339176450000004,-71.08431596833333,4.827,328298.0340260215,4689539.669247883,19.0,T,4
1645385005.7231631,1830,0,0,,42.33917644166666,-71.084315975,4.827,328298.03345412633,4689539.668335991,19.0,T,4
1645385005.9242115,1831,0,0,,42.33917645666667,-71.08431596333334,4.827,328298.0344560738,4689539.669978069,19.0,T,4
1645385006.1224432,1832,0,0,,42.339176425000005,-71.08431603166667,4.817,328298.02874047717,4689539.666599715,19.0,T,4
1645385006.3251078,1833,0,0,,42.33917641,-71.08431605833333,4.819,328298.0265028065,4689539.66498793,19.0,T,4
1645385006.517094,1834,0,0,,42.33917641833334,-71.08431604833333,4.818,328298.02734930586,4689539.665893089,19.0,T,4
1645385006.7308505,1835,0,0,,42.33917641333334,-71.08431604166667,4.816,328298.0278849048,4689539.665324415,19.0,T,4
1645385006.9163277,1836,0,0,,42.339176405,-71.08431602499999,4.817,328298.02923524764,4689539.664365406,19.0,T,4
1645385007.118072,1837,0,0,,42.33917641166666,-71.08431600499999,4.815,328298.03090102517,4689539.665065301,19.0,T,4
1645385007.3194907,1838,0,0,,42.33917641166666,-71.084316015,4.814,328298.0300772104,4689539.665085494,19.0,T,4
1645385007.5368726,1839,0,0,,42.339176415000004,-71.08431599833334,4.814,328298.0314593087,4689539.66542198,19.0,T,4
1645385007.7182946,1840,0,0,,42.339176415000004,-71.08431599833334,4.813,328298.0314593087,4689539.66542198,19.0,T,4
1645385007.9258914,1841,0,0,,42.339176395,-71.08431602166667,4.818,328298.029482635,4689539.66324825,19.0,T,4
1645385008.141399,1842,0,0,,42.339176401666656,-71.08431599000001,4.816,328298.0321095272,4689539.663924586,19.0,T,4
1645385008.3311512,1843,0,0,,42.33917641166666,-71.08431600666665,4.812,328298.030763723,4689539.6650686655,19.0,T,4
1645385008.5245297,1844,0,0,,42.33917641833334,-71.08431601000001,4.811,328298.03050726274,4689539.665815679,19.0,T,4
1645385008.7305713,1845,0,0,,42.33917642333334,-71.08431600166666,4.814,328298.031207387,4689539.666354065,19.0,T,4
1645385008.9257445,1846,0,0,,42.339176395,-71.08431603833333,4.815,328298.0281096097,4689539.663281906,19.0,T,4
1645385009.1321099,1847,0,0,,42.33917638,-71.084316035,4.814,328298.02834338543,4689539.661609541,19.0,T,4
1645385009.3260844,1848,0,0,,42.339176401666656,-71.08431603000001,4.814,328298.02881426824,4689539.66400536,19.0,T,4
1645385009.5276966,1849,0,0,,42.339176388333335,-71.08431601333332,4.815,328298.0301510016,4689539.66249114,19.0,T,4
1645385009.7180748,1850,0,0,,42.339176375,-71.08431602000002,4.817,328298.029565497,4689539.661024038,19.0,T,4
1645385009.9312966,1851,0,0,,42.339176386666665,-71.084316035,4.812,328298.0283615314,4689539.662349822,19.0,T,4
1645385010.1289058,1852,0,0,,42.33917641666667,-71.08431599666667,4.806,328298.0316011473,4689539.665603684,19.0,T,4
1645385010.3323522,1853,0,0,,42.33917641333334,-71.08431599666667,4.807,328298.0315920743,4689539.665233544,19.0,T,4
1645385010.5316722,1854,0,0,,42.339176388333335,-71.08431599333332,4.815,328298.03179863107,4689539.662450753,19.0,T,4
1645385010.7318325,1855,0,0,,42.33917639333334,-71.08431599833334,4.813,328298.03140033426,4689539.663016062,19.0,T,4
1645385010.9196944,1856,0,0,,42.339176398333336,-71.08431600499999,4.807,328298.0308647333,4689539.663584737,19.0,T,4
1645385011.1308007,1857,0,0,,42.339176396666666,-71.08431597666667,4.805,328298.03319433884,4689539.66334245,19.0,T,4
1645385011.3249173,1858,0,0,,42.33917641666667,-71.08431598166666,4.806,328298.0328368705,4689539.665573394,19.0,T,4
1645385011.54212,1859,0,0,,42.33917642166666,-71.08431600166666,4.808,328298.0312028505,4689539.666168993,19.0,T,4
1645385011.7240627,1860,0,0,,42.33917641,-71.08431599833334,4.809,328298.0314456993,4689539.664866769,19.0,T,4
1645385011.929227,1861,0,0,,42.339176398333336,-71.08431597333332,4.805,328298.0334734817,4689539.66352079,19.0,T,4
1645385012.1264517,1862,0,0,,42.33917641,-71.08431596166666,4.807,328298.03446635406,4689539.664792726,19.0,T,4
1645385012.3310685,1863,0,0,,42.339176396666666,-71.08431595666667,4.81,328298.0348419683,4689539.663302063,19.0,T,4
1645385012.5292046,1864,0,0,,42.3391764,-71.084315975,4.805,328298.03334071394,4689539.663709225,19.0,T,4
1645385012.7312317,1865,0,0,,42.339176405,-71.08431598000001,4.808,328298.03294241714,4689539.664274536,19.0,T,4
1645385012.924975,1866,0,0,,42.339176401666656,-71.08431601166667,4.803,328298.03032459563,4689539.663968338,19.0,T,4
1645385013.124797,1867,0,0,,42.339176396666666,-71.08431600333334,4.801,328298.03099749674,4689539.6633963,19.0,T,4
1645385013.3164415,1868,0,0,,42.339176395,-71.08431599166667,4.805,328298.03195407917,4689539.66318767,19.0,T,4
1645385013.5213053,1869,0,0,,42.33917640333334,-71.08431603333332,4.804,328298.0285442005,4689539.664197165,19.0,T,4
1645385013.7255557,1870,0,0,,42.33917641833334,-71.08431602333334,4.804,328298.0294088417,4689539.665842605,19.0,T,4
1645385013.9283962,1871,0,0,,42.33917642333334,-71.08431602833333,4.803,328298.0290105449,4689539.666407914,19.0,T,4
1645385014.1318886,1872,0,0,,42.3391764,-71.08431599666667,4.802,328298.0315557823,4689539.663752979,19.0,T,4
1645385014.3232217,1873,0,0,,42.339176396666666,-71.08431602000002,4.805,328298.02962447144,4689539.663429955,19.0,T,4
1645385014.5289168,1874,0,0,,42.33917641666667,-71.08431602333334,4.797,328298.0294043052,4689539.665657534,19.0,T,4
1645385014.719123,1875,0,0,,42.33917641833334,-71.084316015,4.798,328298.0300953564,4689539.665825777,19.0,T,4
1645385014.92751,1876,0,0,,42.33917638333334,-71.08431601166667,4.801,328298.0302746942,4689539.6619325625,19.0,T,4
1645385015.129112,1877,0,0,,42.339176405,-71.08431601166667,4.8,328298.0303336687,4689539.664338482,19.0,T,4
1645385015.3240244,1878,0,0,,42.33917641833334,-71.08431601000001,4.799,328298.03050726274,4689539.665815679,19.0,T,4
1645385015.5250096,1879,0,0,,42.33917641333334,-71.08431599833334,4.8,328298.0314547722,4689539.665236911,19.0,T,4
1645385015.7291594,1880,0,0,,42.3391764,-71.08431599666667,4.802,328298.0315557823,4689539.663752979,19.0,T,4
1645385015.9228804,1881,0,0,,42.33917635833333,-71.08431599166667,4.813,328298.0318542763,4689539.659116116,19.0,T,4
1645385016.1377907,1882,0,0,,42.33917635833333,-71.08431599333332,4.809,328298.0317169742,4689539.659119481,19.0,T,4
1645385016.3207688,1883,0,0,,42.339176391666655,-71.08431597166667,4.805,328298.03359263565,4689539.662777141,19.0,T,4
1645385016.5341742,1884,0,0,,42.33917638,-71.084315995,4.805,328298.0316386465,4689539.661528766,19.0,T,4
1645385016.727457,1885,0,0,,42.33917639333334,-71.08431599833334,4.804,328298.03140033426,4689539.663016062,19.0,T,4
1645385016.9244332,1886,0,0,,42.339176405,-71.08431597666667,4.806,328298.0332170214,4689539.6642678045,19.0,T,4
1645385017.129371,1887,0,0,,42.339176376666664,-71.08431595166667,4.815,328298.0351994388,4689539.661071118,19.0,T,4
1645385017.32637,1888,0,0,,42.339176385,-71.08431596666665,4.815,328298.03398640023,4689539.662026762,19.0,T,4
1645385017.5226653,1889,0,0,,42.339176388333335,-71.08431596000001,4.815,328298.03454468166,4689539.662383441,19.0,T,4
