Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,fix_quality.data
1645139237.6543279,3041,0,0,,42.33707867166667,-71.08686817499999,12.577,328082.0625283116,4689311.883918799,19.0,T,5
1645139237.8655822,3042,0,0,,42.33707855166668,-71.08686811333334,12.569,328082.06728165946,4689311.870469039,19.0,T,5
1645139238.0604692,3043,0,0,,42.337078203333334,-71.08686805666666,12.551,328082.07100085285,4689311.831674713,19.0,T,5
1645139238.2537782,3044,0,0,,42.33707784666667,-71.08686783333332,12.55,328082.0884280469,4689311.791618065,19.0,T,5
1645139238.450816,3045,0,0,,42.33707749,-71.08686736333334,12.566,328082.12617669196,4689311.7510627005,19.0,T,5
1645139238.659231,3046,0,0,,42.3370771,-71.08686689166666,12.521,328082.16397181305,4689311.706802556,19.0,T,5
1645139238.8605895,3047,0,0,,42.33707678333334,-71.08686613166667,12.509,328082.2257209079,4689311.670102563,19.0,T,5
1645139239.0534031,3048,0,0,,42.337076475,-71.08686520999998,12.539,328082.30081150506,4689311.634001061,19.0,T,5
1645139239.3519254,3049,0,0,,42.337075818333346,-71.086864315,12.543,328082.3727559379,4689311.559273722,19.0,T,5
1645139239.5291378,3050,0,0,,42.337075005,-71.086863715,12.5,328082.41997007444,4689311.467746178,19.0,T,5
1645139239.7371297,3051,0,0,,42.337074603333335,-71.08686315333333,12.552,328082.46514798916,4689311.422008578,19.0,T,5
1645139239.8617218,3052,0,0,,42.337073695,-71.08686255666667,12.522,328082.5118286285,4689311.319938749,19.0,T,5
1645139240.1441252,3053,0,0,,42.337073221666664,-71.08686186333333,12.527,328082.5676585087,4689311.265976909,19.0,T,5
1645139240.258696,3054,0,0,,42.33707271833334,-71.08686084833333,12.515,328082.64990691177,4689311.20803345,19.0,T,5
1645139240.5365653,3055,0,0,,42.337072146666664,-71.08685964833333,12.504,328082.74721019564,4689311.142128063,19.0,T,5
1645139240.7340825,3056,0,0,,42.33707188333333,-71.08685898,12.526,328082.8015527433,4689311.111535663,19.0,T,5
1645139240.9533834,3057,0,0,,42.337071211666675,-71.08685833833333,12.482,328082.85258562653,4689311.035654885,19.0,T,5
1645139241.1463447,3058,0,0,,42.33707089333333,-71.08685769666666,12.512,328082.90458138275,4689310.999009072,19.0,T,5
1645139241.3589747,3059,0,0,,42.33707010666667,-71.08685718,12.496,328082.94500284304,4689310.910611148,19.0,T,5
